trace_type,manuscript_section,claim_or_scope,status,evidence_summary,guardrail,source_artifact_ids,source_artifact_count
claim_boundary,Claim boundary,C_FULL_METHOD_START,blocked,Full gate reads 43 Phase 5 summaries; status blocked_but_publishable_diagnostic_direction; full_method_allowed=False. MV10 label-only PHQ screen: configural pass=True; loading congruence 0.998; metric invariant items 7/8; threshold invariant items 4/8; anchor candidates 4/8; status complete_partial_invariance_supported_approx. MV11 formal graded-response IRT confirmation: status complete_formal_partial_invariance_supported_with_bic_caveat; confirmed MV10 anchors 4; loading-DIF flags 0; threshold-DIF flags 2; best AIC core model partial_mv10; best BIC core model scalar. MV13 external R mirt replication: status complete_external_mirt_with_convergence_warnings; confirmed MV10 anchors 4; load...,Do not use as a positive claim; report as negative or blocked evidence.,P5_MV01;P5_MV02;P5_MV03;P5_MV03b;P5_MV04;P5_MV04b;P5_MV04c;P5_MV05;P5_MV06_summary;P5_MV06_review_pack;P5_MV07_edaic_bge_generation;P5_MV07_readiness;P5_MV07;P5_MV07b;P5_MV07c;P5_MV08_design;P5_MV08;P5_MV08_error_analysis;P5_MV08b_design;P5_MV08b;P5_MV09;P5_MV10;P5_MV11;P5_MV12_design;P5_MV12;P5_MV12_analysis;P5_MV13_design;P5_MV13;P5_MV14_design;P5_MV14;P5_MV15_design;P5_MV15;P5_MV16_design;P5_MV16;P5_MV17a;P5_MV18;P5_MV19,37
claim_boundary,Measurement evidence,C_RQ1_SHARED_SYMPTOM,blocked,"MV08 improves over total-score floor on 0/3 pooled active slices with prediction identity BA 0.900. MV08b improves over both floors on 2/3 slices, but prediction identity BA 0.979 exceeds gate 0.900. MV09 revises the gate semantics: E-DAIC/CMDC item-conditioned feature identity BA remains 0.991. MV10 adds a label-only PHQ screen with loading congruence 0.998, 7/8 metric items, 4/8 threshold items, and 4/8 candidate anchors. MV11 confirms 4 MV10 anchors with 0 loading-DIF and 2 threshold-DIF flags, but core AIC/BIC split is True. MV13 external mirt replication confirms 4 anchors with 0 loading-DIF and 2 threshold-DIF flags, core convergence False, and 6/6 MV11-aligned decisions. MV14 boots...",Do not use as a positive claim; report as negative or blocked evidence.,P5_MV01;P5_MV02;P5_MV02b;P5_MV03;P5_MV03b;P5_MV04b;P5_MV07_edaic_bge_generation;P5_MV07_readiness;P5_MV07;P5_MV07b;P5_MV07c;P5_MV08_design;P5_MV08;P5_MV08_error_analysis;P5_MV08b_design;P5_MV08b;P5_MV09;P5_MV10;P5_MV11;P5_MV12_design;P5_MV12;P5_MV12_analysis;P5_MV13_design;P5_MV13;P5_MV14_design;P5_MV14;P5_MV15_design;P5_MV15;P5_MV16_design;P5_MV16;P5_MV17a;P5_MV18;P5_MV19,33
claim_boundary,Psychometric baseline,C_PSYCHOMETRIC_INVARIANCE_BASELINE,allowed_limited,MV10 label-only PHQ screen: configural pass=True; loading congruence 0.998; metric invariant items 7/8; threshold invariant items 4/8; anchor candidates 4/8; status complete_partial_invariance_supported_approx. MV11 formal graded-response IRT confirmation: status complete_formal_partial_invariance_supported_with_bic_caveat; confirmed MV10 anchors 4; loading-DIF flags 0; threshold-DIF flags 2; best AIC core model partial_mv10; best BIC core model scalar. MV13 external R mirt replication: status complete_external_mirt_with_convergence_warnings; confirmed MV10 anchors 4; loading-DIF flags 0; threshold-DIF flags 2; best AIC/BIC core models partial_mv10/scalar; core converged=False; MV11-align...,Allowed only with the scoped wording in this table.,P5_MV10;P5_MV11;P5_MV12_design;P5_MV12;P5_MV12_analysis;P5_MV13_design;P5_MV13;P5_MV14_design;P5_MV14;P5_MV16_design;P5_MV16;P5_MV19,12
claim_boundary,HAMD diagnostic evidence,C_PDCH_HAMD_INTERNAL,allowed_limited,PDCH item-derived total MAE 5.693; direct total MAE 5.794; macro item MAE 0.727; status pass_pdch_only_diagnostic.,Allowed only with the scoped wording in this table.,P5_MV02;P5_MV02_readiness;P5_MV02b;P5_MV18,4
claim_boundary,External stress tests,C_EATD_SDS_GENERALIZATION,blocked,EATD valence/SDS remains blocked: raw primary MAE 28.810 versus train-mean floor 7.201; status blocked_main_task_below_floor.,Do not use as a positive claim; report as negative or blocked evidence.,P5_MV03;P5_MV03b;P5_MV04c,3
claim_boundary,Identity and protocol diagnostics,C_DATASET_IDENTITY_CONTROL,allowed_limited,"MV09 conditional identity audit: E-DAIC/CMDC raw BA 1.000, PHQ-item residualized BA 0.991; CMDC/PDCH severity-residualized BA 1.000; three-way severity-residualized BA 1.000. Legacy MV15 latent-conditioned identity run under the old Chinese-BGE chain: status blocked_theta_conditioned_feature_identity_high; raw feature identity BA 1.000; theta-conditioned feature identity BA 1.000; total/predicted-total/B3-conditioned feature identity BA 1.000/1.000/1.000; theta-only identity BA 0.576; predicted-theta output identity BA 0.646; old-chain B3 Pareto dominates predicted theta output=True; full_method_allowed=False. MV17a makes B3 dominance encoder-dependent. MV17a multilingual feature-contract...",Allowed only with the scoped wording in this table.,P5_MV04;P5_MV04b;P5_MV07b;P5_MV07c;P5_MV09;P5_MV12;P5_MV15_design;P5_MV15;P5_MV17a,9
claim_boundary,Identity and protocol diagnostics,C_MODMA_TASK_CONTROL,allowed_limited,MODMA task projection reduces feature task identity BA 0.762 -> 0.570 while preserving main task signal (0.688).,Allowed only with the scoped wording in this table.,P5_MV04c;Phase3_task_valence,2
claim_boundary,External stress tests,C_EATD_VALENCE_ADVERSARIAL,blocked,EATD valence/SDS remains blocked: raw primary MAE 28.810 versus train-mean floor 7.201; status blocked_main_task_below_floor.,Do not use as a positive claim; report as negative or blocked evidence.,P5_MV03;P5_MV03b;P5_MV04c,3
claim_boundary,Population/context diagnostics,C_RQ3_CONTEXT_CONDITIONING,blocked,"P5_MV05 status blocked_no_context_calibration_gain; The MPDD context-calibration row is runnable, but the proposed AV-probability-plus-context calibrator does not improve age/personality subgroup ECE gaps over the AV baseline strongly enough for a positive RQ3 claim.",Do not use as a positive claim; report as negative or blocked evidence.,P5_MV05;Phase3_MPDD,2
claim_boundary,Evidence localization,C_RQ4_EVIDENCE_LOCALIZATION,allowed_limited,"MV06 has 143 completed and 143 double-annotated candidates. Evidence-presence kappa: ALL 0.965 (95% CI 0.922-1.000; 143 pairs), CMDC 0.967 (95% CI 0.885-1.000; 59 pairs), PDCH 1.000 (95% CI 1.000-1.000; 60 pairs), E-DAIC 0.846 (95% CI 0.595-1.000; 24 pairs). 1 sampled candidate remains incomplete in the local workbook. Field-specific degenerate marginal statuses should be read from agreement_summary.csv.",Allowed only with the scoped wording in this table.,P5_MV06_readiness;P5_MV06_pilot;P5_MV06_workbench;P5_MV06_summary;P5_MV06_ai_preannotation;P5_MV06_review_pack,6
claim_boundary,Paper framing,C_PUBLISHABLE_PAPER_DIRECTION,allowed_with_reframing,Full gate reads 43 Phase 5 summaries; status blocked_but_publishable_diagnostic_direction; full_method_allowed=False. MV10 label-only PHQ screen: configural pass=True; loading congruence 0.998; metric invariant items 7/8; threshold invariant items 4/8; anchor candidates 4/8; status complete_partial_invariance_supported_approx. MV11 formal graded-response IRT confirmation: status complete_formal_partial_invariance_supported_with_bic_caveat; confirmed MV10 anchors 4; loading-DIF flags 0; threshold-DIF flags 2; best AIC core model partial_mv10; best BIC core model scalar. MV13 external R mirt replication: status complete_external_mirt_with_convergence_warnings; confirmed MV10 anchors 4; load...,"Allowed as paper framing, not as a full-method success claim.",all_phase5;P5_MV12_analysis;P5_MV13_design;P5_MV13;P5_MV14_design;P5_MV14;P5_MV15_design;P5_MV15;P5_MV16_design;P5_MV16;P5_MV17a;P5_MV18;P5_MV19,13
results_claim_checklist,Results,Baseline reproducibility floor,supported,Phase 2 completed 66/67 runs with 313 completed metric rows and zero blocked runs.,Do not publish Phase 2 generated result artifacts by default; cite aggregate completion only.,results_section_claim_checklist,1
results_claim_checklist,Results,Dataset/protocol shortcut risk,supported_diagnostic,"Dataset identity probes include WavLM six-way BA 0.990, CMDC/PDCH BGE BA 1.000, and E-DAIC/CMDC OpenFace BA 1.000.",Treat identity as shortcut-risk evidence; use conditional identity for shared-latent claims.,results_section_claim_checklist,1
results_claim_checklist,Results,Protocol/task failure modes,supported_diagnostic,CMDC Q10-only binary Macro-F1 delta is -0.374; MODMA affective-task BA drop is 0.142.,Speaker-resolved E-DAIC/CMDC controls remain blocked by missing fields.,results_section_claim_checklist,1
results_claim_checklist,Results,Population/context method gain,blocked_positive_claim,"MPDD AVP adds only Macro-F1 0.001 and QWK 0.001 over AV, while subgroup calibration gaps remain large.","Use age/personality as heterogeneity axes, not as a positive context-conditioning method claim.",results_section_claim_checklist,1
results_claim_checklist,Results,Measurement-shift paper direction,allowed_with_reframing,"Full gate reads 43 Phase 5 summaries; the full method remains blocked, but the measurement-shift paper direction is allowed.",Report negative and bounded results honestly; no full M0/M1/M2/M3 claim.,results_section_claim_checklist,1
results_claim_checklist,Results,C02/C06 PHQ threshold-shift wording,finite_sample_bounded,MV19 status complete_mv19_high_false_localization_downgrade_c02_c06: H0 C02/C06 both-flag false rate 0.208; H1 both-flag recovery 0.662; H1 top-two recovery 0.222; anchor subset recovery 0.178.,Do not call C02/C06 a robust standalone DIF conclusion at the observed N.,results_section_claim_checklist,1
results_claim_checklist,Results,MV17a latent-target feature-contract sensitivity,blocked_positive_method_claim,"Across BGE-M3 and multilingual-E5, X-to-theta is learnable and output identity is low, but observed-scale safety and feature invariance fail. External theta transfer and B3 Pareto dominance are encoder-dependent.",Do not claim universal external-transfer failure or universal B3 dominance from MV17a.,results_section_claim_checklist,1
