section,source_artifact_id,source_path,use
Baselines,phase2_completion_audit,analysis/phase2_baselines/phase2_completion_audit/phase2_completion_audit.json,"baseline matrix completion, metrics, seeds, and method-design gate"
Baselines,phase2_artifact_hygiene,analysis/phase2_baselines/phase2_artifact_hygiene_audit/phase2_artifact_hygiene_audit.json,baseline hygiene and local-only prediction audit status
Failure-Mode Diagnostics,phase3_dataset_identity,analysis/phase3_diagnostics/dataset_identity_probe/probe_metric_summary.csv,dataset/protocol identity probe balanced accuracy summaries
Failure-Mode Diagnostics,phase3_protocol_controls,analysis/phase3_diagnostics/protocol_controls/protocol_control_metric_deltas.csv,E-DAIC position/repeated-turn and CMDC question-position controls
Failure-Mode Diagnostics,phase3_task_valence,analysis/phase3_diagnostics/task_valence/modma_task_transfer_drop_summary.csv,MODMA cross-task degradation and EATD valence stress interpretation
Failure-Mode Diagnostics,phase3_mpdd_individual_differences,analysis/phase3_diagnostics/mpdd_individual_differences/phase3_run_summary.json,"MPDD personality, age, gait, and missing metadata diagnostics"
Measurement Results,paper_claim_boundary,analysis/diagnostic_measurement_audit_paper/paper_claim_boundary.csv,allowed and blocked paper claim language
Measurement Results,key_numeric_findings,analysis/diagnostic_measurement_audit_paper/key_numeric_findings.csv,"paper-facing MV08-MV15, PDCH, MODMA, EATD, and MV06 findings"
Measurement Results,mv13_external_psychometric_replication,analysis/phase5_minimal_validation/p5_mv13_external_psychometric_replication/run_summary.json,MV13 external R mirt replication status and convergence caveat
Measurement Results,mv14_measurement_uncertainty_bootstrap,analysis/phase5_minimal_validation/p5_mv14_measurement_uncertainty_bootstrap/run_summary.json,"MV14 bootstrap anchor, DIF, convergence, and model-selection stability"
Measurement Results,mirt_parameterization_correctness_audit,analysis/phase5_minimal_validation/p5_mirt_parameterization_correctness_audit/run_summary.json,"code-level mirt reference/focal, anchor-linking, focal hyperparameter, and threshold-parameterization audit"
Measurement Results,mv19_finite_sample_phq_simulation,analysis/phase5_minimal_validation/p5_mv19_phq_finite_sample_psychometric_simulation/run_summary.json,"MV19 observed-N PHQ false-DIF, C02/C06 recovery, and anchor recovery simulation"
Measurement Results,mv21_measurement_discrepancy_gradient,analysis/phase5_minimal_validation/p5_mv21_measurement_discrepancy_gradient/run_summary.json,"MV21 PHQ shared-item descriptive/severity-conditioned analysis, CMDC/PDCH HAMD same-scale descriptive control, and DAIC-WOZ/E-DAIC same-lineage PHQ-8 control"
Measurement Results,mv20_criterion_overlap_stress,analysis/phase5_minimal_validation/p5_mv20_criterion_overlap_stress/run_summary.json,MV20 CMDC-only criterion-overlap deletion stress and stop rule
Measurement Results,mv15_latent_conditioned_identity_design,analysis/phase5_minimal_validation/p5_mv15_latent_conditioned_identity_design/run_summary.json,MV15 predeclared latent-conditioned identity ladder and local-only boundary
Measurement Results,mv15_latent_conditioned_identity_run,analysis/phase5_minimal_validation/p5_mv15_latent_conditioned_identity/run_summary.json,MV15 aggregate latent-conditioned identity results and pass/fail gate
Measurement Results,mv16_dif_guided_calibration_run,analysis/phase5_minimal_validation/p5_mv16_dif_guided_calibration/run_summary.json,"MV16 aggregate few-shot calibration ladder, pass/fail gate, and output identity boundary"
Measurement Results,mv17a_multilingual_feature_contract,analysis/phase5_minimal_validation/p5_mv17a_multilingual_feature_contract/run_summary.json,BGE-M3 primary feature contract and multilingual-E5 sensitivity over MV07/MV12/MV15
Measurement Results,mv12_tradeoff_analysis,analysis/phase5_minimal_validation/p5_mv12_latent_target_tradeoff_analysis/run_summary.json,"Legacy Chinese-BGE MV12 freeze decision, failure modes, and gate decomposition"
